dish_id,calories,mass,fat,carb,protein
dish_1562691674,376.976868,435,11.33825,42.573318,26.482393
dish_1566591080,909.629578,549,43.513371,19.378721,103.567314
dish_1564082462,905.354492,609,32.071827,40.532917,108.82251
dish_1562602860,165.182281,258,5.622155,20.834251,10.206213
dish_1561739954,276.119995,225,16.059999,16.556,15.39
dish_1558638983,59.416,56,1.344,12.32,1.736
dish_1558631825,118.832001,112,2.688,24.639999,3.472
dish_1564689108,203.66246,159,15.866496,13.156699,4.929469
dish_1563216440,403.786346,352,6.472354,39.857891,44.691349
dish_1559240908,60.16,128,0.128,15.36,1.152
dish_1563395480,370.521423,329,14.106581,31.81958,29.161797
dish_1559235815,352.39502,268,16.284,31.334002,19.628799
dish_1565640272,377.820007,405,13.907999,49.740002,16.559999
dish_1565898158,240.425751,194,10.293161,10.249402,25.324493
dish_1565022062,234.606583,366,2.846122,30.903877,19.271049
dish_1558719994,768.873047,133,65.834999,30.191,29.792002
dish_1562960520,422.399261,303,19.659971,31.715603,29.545202
dish_1560441270,24.540001,46,0.063,5.304,0.835
dish_1561663855,179.138412,139,7.395212,14.409589,15.28675
dish_1563389199,390.254456,284,8.273479,70.210716,16.497627
dish_1566488928,103.048294,147,2.219561,19.982441,1.327024
dish_1558031302,56.98,74,0.074,12.58,1.48
dish_1558723926,19.26,107,0.214,4.173,0.963
dish_1563392128,169.934235,162,18.81292,6.487778,21.133221
dish_1563910171,571.183777,423,27.285721,24.938656,53.608376
dish_1560368464,349.449951,275,18.062435,16.807095,29.051191
dish_1560368990,211.92131,119,9.981677,14.39169,14.986163
dish_1562958563,130.839996,68,9.767,2.686,8.158
dish_1561579617,130.172348,304,4.552824,21.115883,4.427353
dish_1566333167,344.544495,140,14.501362,31.633934,20.294445
dish_1565033139,193.649994,274,14.177,17.355999,4.434
dish_1563551194,471.643555,400,14.045855,57.670921,27.842804
dish_1563464480,229.490005,213,10.918,25.838001,8.302
dish_1567020054,122.001411,145,11.540041,7.937456,14.210079
dish_1568649387,163.858185,192,5.302399,28.488777,2.512788
dish_1565370004,570.884766,370,41.655426,11.23975,36.877651
dish_1566499633,161.386429,139,14.183504,8.426495,3.023964
dish_1559849412,352.641022,61,30.195,13.847,13.664001
dish_1558719336,24.25,97,0.291,4.85,1.746
dish_1562602657,610.365173,236,44.069649,31.015892,24.324261
dish_1558116201,313.585999,91,24.843,3.822,17.563
dish_1559668314,551.546021,300,38.153999,32.832001,21.035
dish_1557861697,13.144,53,0.106,3.127,0.53
dish_1558721484,11.160001,62,0.124,2.418,0.558
dish_1565379251,32.936092,67,0.792689,6.608891,0.59528
dish_1563306392,477.465118,288,13.979971,5.710499,77.775475
dish_1559843335,25.410002,77,0.231,6.16,0.539
dish_1558549214,239.190002,361,0.722,53.875004,5.712
dish_1562775488,91.239998,145,0.158,12.433001,8.56
dish_1562787956,26.84,61,1.281,2.623,1.952
dish_1562775212,92.480003,136,1.904,16.32,3.264
dish_1560801773,13.5,54,0.162,2.7,0.972
dish_1559238435,115.544006,202,0.202,30.703999,0.808
dish_1562008813,214.593262,225,15.571491,15.597978,6.029664
dish_1568061202,256.551605,334,7.670484,39.151718,9.440392
dish_1560445069,94.527,243,0.243,22.112999,1.215
dish_1566502573,821.510193,487,43.20623,60.718185,51.18927
dish_1563900172,236.636597,255,12.947122,18.36488,11.786048
dish_1562785132,211.542679,192,24.6008,10.392798,28.955555
dish_1565383097,479.248993,430,25.929001,13.332999,50.022999
dish_1559233102,183.520004,124,13.64,1.984,12.400001
dish_1560357427,93.749001,241,0.241,21.931,1.205
dish_1568401261,530.393372,443,26.350721,34.582966,39.131962
dish_1558031628,31.280001,92,0.184,7.36,0.736
dish_1558029148,38.880001,108,0.108,9.72,0.54
dish_1558461431,1.15,5,0.02,0.18,0.145
dish_1562790824,437.071686,368,49.829514,19.273878,49.859921
dish_1558718610,113.527,107,2.568,23.539999,3.317
dish_1562959129,412.873596,293,22.177427,47.374996,24.672005
dish_1560975517,42.389999,99,1.858,4.608,3.064
dish_1558641075,12.42,69,0.138,2.691,0.621
dish_1560455158,69.12085,55,5.892522,3.531324,1.433316
dish_1565972715,657.545837,510,46.845226,15.662046,43.166805
dish_1558639787,24.75,99,0.297,4.95,1.782
dish_1560203424,451.753998,138,22.271999,50.211998,14.587999
dish_1558724912,30.75,75,0.15,7.5,0.675
dish_1563913675,282.693146,228,12.514251,31.848915,12.170398
dish_1567542876,495.807739,260,21.002985,45.708035,29.519905
dish_1561753075,945.670715,668,47.436813,46.316841,82.687485
dish_1559244305,113.066399,64,7.04521,9.832837,3.483331
dish_1561577573,755.432922,346,40.638695,24.98456,66.063805
dish_1563550614,132.824387,205,1.753415,11.551586,15.085366
dish_1565204891,302.886444,314,9.08052,40.929695,16.297201
dish_1558115011,115.620003,20,9.9,4.54,4.48
dish_1562776497,291.832458,292,13.205418,32.771591,11.634132
dish_1559675234,36.970001,120,0.271,8.135,2.075
dish_1565638323,467.824677,274,20.744896,29.2488,38.302158
dish_1561405836,82.429001,31,2.914,10.385,3.472
dish_1565898659,576.704529,537,11.448723,16.11227,97.243431
dish_1562169818,346.819672,275,22.768761,16.997473,19.754049
dish_1559934679,160.845459,146,7.257577,4.518153,18.901001
dish_1562698276,434.58316,307,16.904676,35.99662,31.992001
dish_1558718051,24.25,97,0.291,4.85,1.746
dish_1560368764,207.098907,270,15.165788,14.017039,7.992478
dish_1563563317,345.84198,252,22.701002,8.312,28.483
dish_1565895966,214.544357,287,9.93185,16.800755,16.543627
dish_1566933226,245.449509,171,7.784025,19.447062,22.552277
dish_1558458737,41.599998,32,0.096,8.96,0.864
dish_1561392593,354.044922,325,24.260466,19.139467,16.3906
dish_1566416421,313.741882,367,18.395054,36.646526,12.292887
dish_1562009120,95.610138,146,5.247729,6.257764,9.354047
dish_1560444869,14.040001,39,0.039,3.51,0.195
dish_1562872365,9.879999,76,0.152,1.672,1.14
dish_1564773903,316.827545,336,16.086779,25.091196,19.580328
dish_1563910137,131.283218,141,8.903819,11.986854,2.529557
dish_1561661347,50.669998,132,1.632,7.215,3.426
dish_1558721726,74.360001,143,0.286,20.02,0.429
dish_1566931586,379.380005,389,15.281001,15.525999,46.593998
dish_1563908923,49.279999,112,2.352,4.816,3.584
dish_1563552016,493.589081,174,19.477127,69.953438,10.739063
dish_1562784307,158.518127,157,5.112942,24.925295,5.678117
dish_1564761388,54.599998,105,0.21,0.735,10.5
dish_1561576295,249.067139,232,16.084234,23.931339,4.035298
dish_1562876618,114.336998,43,4.042,14.405001,4.816
dish_1558722247,604.616028,343,43.181,46.771999,21.49
dish_1565640427,195.761993,42,12.096,20.916,2.604
dish_1559841808,73.110001,96,0.57,17.379999,1.29
dish_1560788349,78.925995,134,0.536,4.824,13.400001
dish_1566847431,101.240509,90,1.923067,17.232075,3.76984
dish_1565726812,36.209755,65,1.839024,4.439024,1.521951
dish_1561061687,508.347748,408,24.082794,32.991673,41.733879
dish_1563996279,98.490021,278,1.893741,19.73682,3.910173
dish_1558115448,64.860001,94,0.188,16.92,0.658
dish_1559843030,25.410002,77,0.231,6.16,0.539
dish_1564073860,492.309998,91,38.219997,1.274,33.670002
dish_1561739973,295.369995,280,16.279999,20.406,16.709999
dish_1565811091,504.400024,371,17.632,9.06,74.731003
dish_1559240441,19.470001,59,0.177,4.72,0.413
dish_1565984434,319.892303,430,12.747005,36.362114,17.977343
dish_1563811686,319.428375,331,17.312544,25.879768,16.288153
dish_1561060925,93.914848,156,4.284307,9.30445,8.246765
dish_1561663817,95.495369,86,4.993594,12.891619,2.099187
dish_1566922978,124.32,84,9.24,1.344,8.400001
dish_1557861216,0,1,0,0,0
dish_1566316587,646.768066,311,50.825043,20.937225,26.908691
dish_1560367715,597.531189,305,26.680105,40.813663,44.518318
dish_1561575613,86.411438,70,8.211153,2.81841,1.679894
dish_1558639266,30.768999,29,0.696,6.38,0.899
dish_1558723537,14.5,58,0.174,2.9,1.044
dish_1566317742,154.720001,254,2.908,28.464001,5.376
dish_1565195493,406.998535,291,21.026194,20.198807,30.984879
dish_1559235690,172.604996,111,11.655,1.332,13.875
dish_1560529844,91.68,168,0.3,22.296,1.278
dish_1563220987,224.987503,110,12.479591,4.072388,22.457699
dish_1563913709,337.888184,263,13.28425,42.313908,13.815399
dish_1563305883,83.052505,77,7.017997,4.055908,2.14745
dish_1558639335,60.32,116,0.232,16.24,0.348
dish_1560454488,48.244003,42,4.500726,1.893843,0.63549
dish_1559933793,56.676903,111,1.420199,9.842957,3.716384
dish_1564159636,487.873688,134,37.411686,5.267181,31.4161
dish_1563984140,245.439987,472,0.944,3.304,47.200001
dish_1558724574,50.740002,118,0.354,10.620001,4.012
dish_1558718009,25.84,76,0.152,6.08,0.608
dish_1562873544,193.61171,201,11.637623,18.182364,13.776482
dish_1562945823,62.19532,99,2.125645,10.413193,1.383
dish_1558725403,289.050018,50,24.75,11.35,11.200001
dish_1564516366,31.049999,27,2.889,1.701,0.216
dish_1561752996,848.655762,415,42.90057,36.336651,76.788078
dish_1558381032,115.620003,20,9.9,4.54,4.48
dish_1562774099,51.993542,40,2.787097,6.156128,1.28
dish_1558549150,45.540001,66,0.132,11.88,0.462
dish_1562958629,208.970001,172,10.575,18.126001,13.015
dish_1558725253,33.950001,97,0.388,6.79,2.328
dish_1565036821,325.539917,134,14.517972,25.940332,21.035995
dish_1558628921,24.6,60,0.12,6,0.54
dish_1558032156,140.660004,26,10.92,0.364,9.62
dish_1560444892,39.540001,90,0.09,10.139999,0.45
dish_1561062320,307.868378,202,11.824565,28.927616,20.03928
dish_1560798960,493.720886,429,22.37495,53.315128,24.172991
dish_1561662814,23.243509,20,1.875044,1.529342,0.350089
dish_1560366438,71.93322,136,4.986071,6.105719,2.5801
dish_1565987201,560.658997,522,27.593,16.017,63.875999
dish_1563393148,27.730003,118,0.432667,5.152667,1.730667
dish_1562699570,24.42,22,0.198,5.06,0.572
dish_1566931140,126.700005,199,8.976,12.23,3.696
dish_1560360112,401.494019,248,27.991001,13.674002,23.033001
dish_1566501473,413.942017,371,14.89,18.319,52.967999
dish_1560368738,174.248901,225,13.005788,13.16204,4.392478
dish_1558549413,682.15802,118,58.41,26.785999,26.432001
dish_1558544870,198.354996,170,11.016,10.616,13.344
dish_1562170163,53.5,107,0.107,13.91,0.535
dish_1562611522,132.949997,50,4.7,16.75,5.6
dish_1561574368,22,50,1.05,2.15,1.6
dish_1562614158,453.931671,301,30.739628,14.829063,31.99674
dish_1562785369,440.577881,232,27.266018,17.102179,31.90546
dish_1563479568,83.673561,82,5.109736,8.616775,2.329007
dish_1562871731,17.029999,131,0.262,2.882,1.965
dish_1562007789,302.954895,322,6.650677,49.535133,12.64324
dish_1567537352,50.792469,73,4.293021,2.561213,1.209936
dish_1563824279,58.599998,79,3.895,6.138,0.761
dish_1567007751,39.93,87,0.219,9.66,0.651
dish_1568400935,11.76,42,0.168,2.226,0.924
dish_1558635994,93.839996,136,0.272,24.480001,0.952
dish_1562611853,267.213989,243,15.790093,25.89777,9.070109
dish_1566592456,55.439999,126,2.646,5.418,4.032
dish_1562874250,394.440033,393,42.48568,17.784489,43.569809
dish_1559844683,132.959991,198,0.372,31.370003,3.031
dish_1563305354,340.073578,208,18.281034,12.095403,29.667709
dish_1561739805,696.363525,1102,23.340097,101.256134,29.098999
dish_1558641954,18.360001,102,0.204,3.978,0.918
dish_1564588688,148.178009,43,11.739,1.806,8.299
dish_1563205953,218.769501,298,3.85,30.851999,14.952
dish_1567526738,225.159988,433,0.866,3.031,43.299999
dish_1568048018,496.800018,287,36.139095,8.263098,34.610802
dish_1558373159,1013.337036,334,79.117996,30.505001,60.625
dish_1561739930,60.040001,79,0,14.22,0.79
dish_1565898489,46,40,4.28,2.52,0.32
dish_1560369146,474.832947,359,28.112362,16.167395,39.061409
dish_1562783691,421.686005,423,23.877001,14.462999,40.517998
dish_1565023128,41.594833,32,2.229677,4.924903,1.024
dish_1559158354,21,60,0.24,4.2,1.44
dish_1562183151,108.392403,195,6.945024,9.697037,4.906251
dish_1562094730,428.194458,336,24.716473,11.798436,39.125523
dish_1562007842,492.281372,434,15.187502,61.395573,27.796635
dish_1567525637,153.264771,81,15.801381,3.077018,0.798218
dish_1561580431,258.003418,197,10.666273,18.090307,22.401735
dish_1560442226,83.790001,147,0.441,20.58,1.029
dish_1557862738,319.779999,118,22.42,0,29.5
dish_1564168695,385.007996,78,34.163998,0,18.018
dish_1560360102,401.494019,248,27.991001,13.674002,23.033001
dish_1558381742,78.199997,68,7.276,4.284,0.544
dish_1564690167,251.781372,207,10.885319,25.878613,15.266026
dish_1559844479,83.449997,133,0.318,21.34,0.983
dish_1560444948,171.316879,231,10.029442,17.637623,4.611491
dish_1561060787,46.464848,91,1.164307,8.06945,3.046765
dish_1566331801,296.990997,203,10.436333,11.249237,37.746067
dish_1558463429,42.09,61,0.122,10.98,0.427
dish_1560367952,414.733154,221,21.073912,45.956913,24.938904
dish_1563475953,427.446991,453,15.452144,37.594398,34.205318
dish_1562698209,284.133148,135,16.311678,4.006618,27.579
dish_1561576026,330.456177,156,17.754189,22.053612,19.918734
dish_1564073677,108.967804,92,5.668293,9.771708,4.507317
dish_1562788010,67.643532,182,1.845235,11.571823,2.97953
dish_1565109606,89.964882,94,2.292683,16.507318,0.917073
dish_1561575661,418.952423,228,27.301857,7.507637,33.957542
dish_1568401302,716.47937,561,28.946722,69.864967,44.677963
dish_1562702853,272.567291,169,16.7607,5.334673,23.449675
dish_1560888930,224.931168,151,7.066031,17.505606,21.53792
dish_1568056046,88.080002,189,3.694,13.921,1.757
dish_1565032748,544.310486,435,36.203651,28.482351,26.841993
dish_1558639089,19.32,28,0.056,5.04,0.196
dish_1565627751,68.909271,72,1.756098,12.643903,0.702439
dish_1563221495,365.269897,164,13.375453,29.243366,31.254427
dish_1562861174,401.797852,274,26.503939,3.740394,33.422729
dish_1567628099,127.493019,132,7.445891,13.796238,3.849013
dish_1565984345,210.357925,353,9.083899,20.663086,14.688022
dish_1559842326,334.483002,106,26.394001,18.921,12.296
dish_1558630288,7.106,11,0.374,0.352,0.671
dish_1565021104,291.309021,197,13.953,25.591002,16.747002
dish_1563389042,30.478174,62,0.733533,6.115691,0.550856
dish_1567785165,273.112488,116,19.671967,11.47429,12.889
dish_1556575558,103.300003,151,6.882,10.618,2.868
dish_1565023157,379.034851,260,27.309677,8.572904,23.824001
dish_1562872223,306.862701,468,8.376755,10.477843,47.902866
dish_1558026756,183.860001,178,10.305,13.486,9.863
dish_1562615153,468.202423,286,29.068731,15.152088,36.833271
dish_1563307575,671.082031,419,38.148251,25.06155,53.939724
dish_1558637865,71.086998,67,1.608,14.74,2.077
dish_1561752535,358.001984,307,18.121077,21.717422,28.101458
dish_1562173247,290.550018,149,17.879999,17.879999,13.261001
dish_1563997327,157.878067,120,14.366603,6.455922,3.164272
dish_1566934120,183.993713,316,10.426615,9.686487,14.597677
dish_1563910639,697.289185,447,29.137266,20.529985,80.965355
dish_1565119418,324.39798,122,11.467999,40.870003,13.664001
dish_1559244649,906.761047,455,40.265182,51.688858,83.275085
dish_1563897338,29.92,88,0.176,7.04,0.704
dish_1562603626,201.759506,209,7.385731,28.675268,6.571293
dish_1561578623,208.514832,208,10.297771,13.109113,15.945778
dish_1565021640,304.581451,500,3.283805,20.698196,40.79512
dish_1560442258,289.369995,185,16.400999,21.112,15.089001
dish_1563998513,757.505066,599,38.736301,51.552532,54.239513
dish_1564171935,476.337524,309,21.417841,28.962877,40.716434
dish_1566835603,63.166828,66,1.609756,11.590244,0.643902
dish_1565724087,230.61496,160,12.252845,4.755569,25.147102
dish_1562602918,265.622253,417,5.792155,34.749252,19.446213
dish_1559589873,11.88,54,0.162,1.782,1.674
dish_1564168739,585.302002,164,45.343998,15.394,27.478001
dish_1564432094,177.659988,63,7.56,20.16,7.56
dish_1558544663,141.440002,208,2.912,24.959999,4.992
dish_1562950057,320.100006,223,18.566,26.856001,11.082001
dish_1564169958,787.776489,563,37.704697,46.740982,67.09317
dish_1562007904,525.461365,489,17.817501,64.11657,28.267633
dish_1562086067,178.178009,209,0.539,42.812,2.255
dish_1560887408,324.52002,122,11.834001,40.260002,13.42
dish_1561663068,332.892792,168,15.890169,35.715992,12.027848
dish_1565808975,35.720001,130,0.204,7.926,1.282
dish_1562170356,385.333984,432,14.285,55.529999,12.788
dish_1563391989,462.847504,464,34.812225,15.968175,56.331486
dish_1566934152,305.065247,396,15.832462,11.562181,29.805676
dish_1568056019,64.300003,131,3.578,8.121,1.235
dish_1558378553,393.108002,68,33.66,15.436,15.232
dish_1560543682,121.259995,86,5.848001,15.48,1.806
dish_1562963517,552.648376,511,58.622601,22.397163,58.309628
dish_1566851222,550.827515,375,24.320635,53.79369,29.52721
dish_1566333194,461.585266,220,18.614201,36.067131,35.169743
dish_1562702813,41.051445,59,3.469702,2.070021,0.977894
dish_1558550127,127.182007,22,10.89,4.994,4.928
dish_1559239753,26.545507,54,0.638884,5.326569,0.479778
dish_1561492161,48.309685,43,4.490371,1.81607,0.868981
dish_1558628515,31.92,56,0.168,7.84,0.392
dish_1561752563,373.507965,367,18.29771,24.707659,29.35907
dish_1562691064,555.303711,501,23.931829,64.772835,21.98934
dish_1559233715,83.599998,110,0,19.800001,1.1
dish_1562777000,195.360001,132,14.52,2.112,13.2
dish_1566328724,275.549988,167,6.012,0,51.77
dish_1563220109,184.735962,174,7.398599,22.408951,8.018723
dish_1562096542,38.0896,50,2.763935,3.123378,0.942013
dish_1562860073,357.809998,259,21.688,20.958,20.001999
dish_1562963612,184.080002,156,7.228,21.632,9.048
dish_1562961588,178.220001,67,6.499,22.110001,7.37
dish_1558725786,113.527,107,2.568,23.539999,3.317
dish_1565640601,411.151825,333,18.675562,13.240899,46.487823
dish_1565107171,501.884644,724,13.378048,44.091949,46.59222
dish_1563913627,230.333145,109,10.01525,26.731916,8.362399
dish_1561753275,330.034393,397,13.775391,22.34663,29.201099
dish_1558640418,14.349999,35,0.07,3.5,0.315
dish_1561576978,511.614227,341,25.017786,11.015146,58.580055
dish_1563479655,321.230652,282,15.110439,22.404507,24.518604
dish_1564170071,14,35,0.035,3.15,0.385
dish_1559844113,312.955017,356,12.968,49.254997,7.371
dish_1561667430,342.213593,166,15.668182,18.32616,30.282518
dish_1560799647,723.409973,474,39.668941,39.587593,50.007645
dish_1568313575,57.940002,112,3.619,5.93,2.789
dish_1559842047,153.690002,285,0.487,39.529999,1.992
dish_1562790321,767.469849,354,53.016029,39.829521,37.471909
dish_1559845767,236.23201,375,0.481,58.011997,3.648
dish_1565032680,280.281769,208,21.615925,20.304913,4.109205
dish_1561134128,58.5,141,0.342,14.556,0.906
dish_1560889032,246.868225,208,7.012973,10.744461,34.232979
dish_1566501352,75.529999,170,3.04,12.261001,1.564
dish_1558550218,230.001999,206,11.258,32.433998,5.648
dish_1560975572,96.990005,159,2.158,16.068001,5.584
dish_1562959190,518.801147,378,31.28495,53.022335,26.722988
dish_1566328776,901.810059,436,28.684999,78.293999,77.723999
dish_1563303350,202.221436,167,5.756976,8.355268,28.384161
dish_1563222830,325.068085,211,11.864419,22.478292,31.888044
dish_1560802764,111.832207,99,3.250635,3.44357,16.39369
dish_1561666849,347.594604,298,15.21386,47.585873,11.506332
dish_1563305913,89.652504,107,7.107997,5.045908,3.07745
dish_1562963006,259.097229,247,28.683897,9.891858,32.221638
dish_1563219035,410.209686,221,21.875057,20.186846,32.027081
dish_1560541760,465.58374,372,16.740324,13.392922,63.606739
dish_1562603598,175.259506,156,7.332731,21.785269,6.306293
dish_1561753623,159.310791,149,7.950614,5.45206,15.11546
dish_1566316681,116.762924,122,2.97561,21.424391,1.190244
dish_1562702132,245.385895,359,21.956066,15.755673,23.43635
dish_1567106693,359.160004,417,6.525,18.302,55.369999
dish_1564687090,498.018677,416,32.74007,40.485527,38.089466
dish_1565725244,573.546021,590,19.376999,28.073997,72.006996
dish_1563302447,561.417053,440,27.385805,31.36202,48.122875
dish_1564686657,279.194977,105,9.87,35.174999,11.76
dish_1561747075,646.588074,301,32.647552,31.982321,55.615631
dish_1566419635,605.871704,389,22.414907,50.75592,49.411755
dish_1558639630,116.709999,110,2.64,24.200001,3.41
dish_1558722068,179.210999,31,15.345,7.037,6.944
